Stanisława Bednarczuk,F, Poland
Agnieszka Psiuk,F, Poland
Stefan Psiuk,M, Poland
Seweryna Sitarz,F, Poland
Mikołaj Skrzypa,M, Poland
Ludwik Skrzypa,M, Poland
Rozalia Chmielewska,F, Poland
Wacław Sitarz,M, Poland
Jan Sitarz,M, Poland
Stanisława Kudyba,F, Poland
Marianna Skrzypa,F, Poland
Władysław Skrzypa,M, Poland
Anastazja Sałamacha,F, Poland
Jan Zygmunt Skrzypczak,M, Poland
Stanisław Skrzypczak,M, Poland
Florentyna Sawicka,F, Poland
Władysława Śledź,F, Poland
Ignacy Śledź,M, Poland
J�zefa W�jtowicz,F, Poland
Mieczysław Skrzypczak,M, Poland
Jan Skrzypczak,M, Poland
Marianna Pietraś,F, Poland
Stanisława Skorek,F, Poland
Kazimierz Skorek,M, Poland
Zofia Grzelak,F, Poland
Wiktoria Skowronek,F, Poland
Czesław Zagraba,M, Poland
Stanisław Zagraba,M, Poland
Marianna Syroka,F, Poland
Maria Śliwińska,F, Poland
Feliks Śliwiński,M, Poland
Karolina Mroczkowska,F, Poland
Zofia Śledz,F, Poland
Bronisław Śledz,M, Poland
Wiktoria Mitelska,F, Poland
Janina Słomka,F, Poland
Stanisław Słomka,M, Poland
Franciszka Baran,F, Poland
Stefan Śliwiński,M, Poland
Andrzej Siwek,M, Poland
Stanisław Siwek,M, Poland
Antonina Wieleba,F, Poland
Leon Sliz,M, Poland
Franciszek Sliz,M, Poland
Katarzyna Fijołek,F, Poland
Stefan Skrzypczak,M, Poland
J�zef Skrzypczak,M, Poland
Marianna Poleszak,F, Poland
Stanisława Sławek,F, Poland
Jan Sławek,M, Poland
Marianna Zielonka,F, Poland
Franciszka Skrzypek,F, Poland
Mateusz Skrzypek,M, Poland
Marianna Łagoda,F, Poland
Edward Śliz,M, Poland
Franciszek Śliz,M, Poland
Katarzyna Fijołek,F, Poland
Marianna Sławek,F, Poland
Walery Sławek,M, Poland
Helena Flis,F, Poland
Ludwik Śliz,M, Poland
Jan Śliz,M, Poland
Marianna Flis,F, Poland
Janina Szyszko,F, Poland
